model_type,train_method,embedding_dim,batch_size,epochs,learning_rate,min_freq,vocab_size,num_pairs,train_time,loss_per_epoch,final_loss
cbow,softmax,100,128,100,0.01,1,865,2265,4.258078098297119,"[18.43636968400743, 13.044174671173096, 9.897874620225695, 7.481460332870483, 5.628241856892903, 4.240312933921814, 3.1977259980307684, 2.4488227234946356, 1.8944013516108196, 1.5398450162675645, 1.3082756598790486, 1.1476577421029408, 1.0510756638314989, 0.9814946452776591, 0.9430722296237946, 0.9012070629331801, 0.8894430531395806, 0.8691752685440911, 0.8609327773253123, 0.8564818600813547, 0.8366154217057757, 0.8369560407267677, 0.8300756911436716, 0.8326526582241058, 0.8214672671424018, 0.8247632516754998, 0.8171466059154935, 0.8169131345219083, 0.8206733134057786, 0.8088831884993447, 0.8194469528065788, 0.8094554344813029, 0.8098115854793124, 0.810537083281411, 0.8031594869163301, 0.8085222509172227, 0.7918069163958231, 0.8000856356488334, 0.8024206707874934, 0.8071432709693909, 0.7979202336735196, 0.7955731252829233, 0.7900761928823259, 0.7892054286268022, 0.7934392723772261, 0.7937605165772967, 0.7883439527617561, 0.7974965903494093, 0.7974148475461535, 0.7892272190915214, 0.7924522956212362, 0.7796358068784078, 0.7882900486389796, 0.792978541718589, 0.7835513916280534, 0.7941602418820063, 0.7880056003729502, 0.7878400418493483, 0.7904884881443448, 0.7810909052689871, 0.7742121749454074, 0.7896177735593584, 0.7787220941649543, 0.7780875265598297, 0.7818010714319017, 0.7896782325373756, 0.7861874186330371, 0.7768153647581736, 0.7838126851452721, 0.7886149999168184, 0.770495957798428, 0.7699020538065169, 0.7784722877873315, 0.7660123772091336, 0.7737732496526506, 0.7776065700583987, 0.7730245225959353, 0.7785814934306674, 0.7775551925102869, 0.770240283674664, 0.7817922532558441, 0.7753368450535668, 0.7719328502813975, 0.7652343594365649, 0.7676070763005151, 0.7766536755694283, 0.7710126042366028, 0.7796976930565305, 0.7674412015411589, 0.7675630582703484, 0.7569243725803163, 0.7689463297526041, 0.7602750857671102, 0.7707497974236807, 0.766019367509418, 0.7627201245890723, 0.760820092426406, 0.7575814856423272, 0.7610842353767819, 0.7605631632937325]",0.7605631632937325
cbow,neg_sampling,100,128,100,0.01,1,865,2265,5.942820310592651,"[4.739212248060438, 3.177210224999322, 2.401532146665785, 1.9933368894788954, 1.7267227835125394, 1.564875880877177, 1.4201769365204706, 1.3217830856641133, 1.2583188282118902, 1.1370866762267218, 1.0771466427379184, 0.9895233180787828, 0.9956884649064806, 0.9005517363548279, 0.8296345472335815, 0.7869742578930325, 0.7341022292772929, 0.7187230653232999, 0.6455598970254263, 0.6268769072161781, 0.5536266813675562, 0.5297777884536319, 0.4801428864399592, 0.45977156195375657, 0.44283654126856065, 0.4012979682948854, 0.37612879276275635, 0.3518349710437987, 0.3127105798986223, 0.28224118881755406, 0.2730630669328902, 0.2761389704214202, 0.24384280128611457, 0.24335269629955292, 0.21996483703454336, 0.20421841575039756, 0.20022633920113245, 0.18952858530812794, 0.17857670701212353, 0.17946929981311163, 0.17502349822057617, 0.17176107482777703, 0.159564059227705, 0.14139223595460257, 0.13745820480916235, 0.13376454305317667, 0.1362135058475865, 0.13188122709592184, 0.13067387748095724, 0.12396111711859703, 0.12120902082986301, 0.12512511159810755, 0.12233408499095175, 0.11149771387378375, 0.1120234231154124, 0.11039398983120918, 0.11248188714186351, 0.10746581769651836, 0.1062071058485243, 0.10302996076643467, 0.10808349193798171, 0.09792558869553937, 0.09819640715916951, 0.10791854725943671, 0.10073029125730197, 0.08959938006268607, 0.0890354530678855, 0.10013926691479152, 0.0909470481177171, 0.09185392264690664, 0.09452574224107796, 0.09544685772723621, 0.08484125468466017, 0.07967845723032951, 0.08795955321855015, 0.0844161171052191, 0.08652140158745977, 0.09244179560078515, 0.08022423026462396, 0.08765085600316525, 0.08921774600942929, 0.08818882993525928, 0.08015226220919026, 0.08145373107658492, 0.08154209165109529, 0.08343844157126215, 0.07604357144898838, 0.08096500755184227, 0.08113793780406316, 0.08369344369404846, 0.08318366979559262, 0.08003089825312297, 0.07669188392659028, 0.07771070984502633, 0.08258085449536641, 0.07062454707920551, 0.07709236794875728, 0.08163813025587136, 0.0832489375025034, 0.0717524712284406]",0.0717524712284406
cbow,hierarchical_softmax,100,128,100,0.01,1,865,2265,44.713217973709106,"[17.27541987101237, 11.242739465501574, 8.374467505349052, 6.47927729288737, 4.871584018071492, 4.352072053485447, 3.43005543284946, 3.2894371218151517, 2.7022539244757757, 2.768215126461453, 2.7052864763471813, 2.1100146108203464, 2.1413446267445884, 1.7589569091796875, 2.0528042316436768, 2.002097103330824, 1.6743189361360338, 1.614463124010298, 1.4814190599653456, 2.041242394182417, 1.7979024913575914, 1.8744532201025221, 1.4656257894304063, 1.9362355536884732, 1.4100537366337247, 1.8189062244362302, 1.5330920219421387, 1.7318085961871676, 1.944657074080573, 1.453616910510593, 1.854282604323493, 1.5319984952608745, 1.5158345765537686, 1.2376209398110707, 1.5999612278408475, 1.2977308167351618, 1.3212446835305955, 1.5325441128677793, 1.9148523939980402, 1.2577265401681264, 1.270916481812795, 1.6326766444577112, 1.581733246644338, 1.8635639349619548, 1.19197012980779, 1.825228340095944, 1.8416999975840251, 1.4123227728737726, 1.6245622270637088, 1.7546464204788208, 1.1660203834374745, 1.843856844637129, 1.3323612676726446, 1.7260316477881537, 1.5490526258945465, 1.8452091150813632, 1.4624016947216458, 1.586347563399209, 1.1777285403675504, 1.4923839105500116, 1.575898355907864, 1.6653839780224695, 1.6853333744737837, 1.3030920227368672, 1.233754575252533, 1.7775418592823877, 1.764295157459047, 1.4536286195119221, 1.8284829954306285, 1.3549697763390012, 1.4147311747074127, 1.1134761439429388, 1.613288551568985, 1.3770485917727153, 1.12529252966245, 1.3154670298099518, 1.4204637540711298, 1.5597923927836947, 1.1437049441867404, 1.2852230138248868, 1.737971266110738, 1.2076517906453874, 1.1956908967759874, 1.5311078627904255, 1.4514074292447832, 1.45394562681516, 1.7827063533994887, 1.240137192938063, 1.4362257917722066, 1.627835902902815, 1.2939920359187655, 1.5669867197672527, 1.1357994145817227, 1.7086574534575145, 1.4419533411661785, 1.1816755500104692, 1.2251216504308913, 1.4381170007917616, 1.6379873123433855, 1.2010956207911174]",1.2010956207911174
