model_type,train_method,embedding_dim,batch_size,epochs,learning_rate,min_freq,vocab_size,num_pairs,train_time,loss_per_epoch,final_loss
skipgram,softmax,100,128,100,0.01,1,865,6772,9.444072961807251,"[22.841430088259138, 14.145776928595776, 10.085100605802715, 7.534460355650704, 5.976289155348292, 5.053195620482823, 4.579863543780345, 4.310166579372478, 4.180443399357346, 4.131369244377568, 4.095713700888292, 4.039634007327962, 4.023555184310338, 4.000817033479798, 4.000169924969943, 3.9754829496707558, 3.990701342528721, 3.92956040040502, 3.9479552349954283, 3.924166310508296, 3.9191663040305085, 3.9037539554092118, 3.8954207402355268, 3.9015799333464423, 3.879796747891408, 3.8583317387778804, 3.8587010131691986, 3.837694037635371, 3.838241500674554, 3.83856474228625, 3.809745320733988, 3.812262386645911, 3.81655733540373, 3.794833408211762, 3.8073382242670597, 3.7984307891917677, 3.7777200689855612, 3.8028156982277923, 3.7695378942309685, 3.7714577261007056, 3.7659413949498592, 3.761190783302739, 3.7526056901463924, 3.7409333912831433, 3.7322632141833036, 3.72625994682312, 3.7286513121622913, 3.7105051301560312, 3.7294594206899965, 3.7189297496147877, 3.7155206743276343, 3.7213525457202263, 3.7072168161284247, 3.7179039964136087, 3.699048010808117, 3.7105075638249234, 3.699708488752257, 3.677192161668022, 3.6964660185687945, 3.681463106623236, 3.6795138727943852, 3.6780353402191737, 3.6610462800511776, 3.6751805521407217, 3.66146083597867, 3.6569527635034524, 3.6641281235892817, 3.6490564436282753, 3.64474910610127, 3.6378881346504643, 3.6361882011845426, 3.644912409332563, 3.6475977357828393, 3.636858490278136, 3.621705451101627, 3.619756631131442, 3.624907929942293, 3.6238963828896575, 3.5962595894651592, 3.6116624733187117, 3.600599077512633, 3.604840251634706, 3.601441743238917, 3.5971545993157155, 3.604890715401128, 3.6009822836462058, 3.587649408376442, 3.578627105029124, 3.5792098135318398, 3.5757420647819087, 3.5707095164173053, 3.5816215389179735, 3.5690075226549833, 3.574728511414438, 3.568366271144939, 3.557095617618201, 3.5664902813029737, 3.553105057410474, 3.558533250160937, 3.555085762491766]",3.555085762491766
skipgram,neg_sampling,100,128,100,0.01,1,865,6781,12.007888078689575,"[6.815559711096422, 4.310524126268783, 3.298855183259496, 2.8873336405124306, 2.6502968095383554, 2.4389951993834296, 2.2407045836718575, 2.1098738773813785, 1.9239063060508583, 1.7271045221472687, 1.487243911005416, 1.314607246866766, 1.1839091879016947, 1.0244942206256795, 0.9228508348734874, 0.8302278946030814, 0.7462529258907966, 0.712571104742446, 0.669113020851927, 0.6161019245408615, 0.5868905962638136, 0.5642504990100861, 0.5469932364967635, 0.5304643539887555, 0.5096324603512602, 0.5101949488216976, 0.4998934634451596, 0.49055919838401507, 0.4853096120762375, 0.4732904929035115, 0.47475834106499293, 0.4631075060592507, 0.47126890859513915, 0.4621085749482209, 0.45803479541022823, 0.45793983340263367, 0.4558043344965521, 0.45420588131220835, 0.4483069575057839, 0.4471179055717756, 0.44999202636052976, 0.45244358789246036, 0.44766311094446004, 0.4479250249997625, 0.4477880709576157, 0.44499176909338756, 0.44629577139638504, 0.4566615471300089, 0.4505824367955046, 0.44162201825177894, 0.4467094619319124, 0.45194715767536525, 0.4423708623310305, 0.44672771444860493, 0.45180991010845833, 0.44628910748463757, 0.45497042502997054, 0.44585205698913, 0.4489563827244741, 0.4555062235526319, 0.4461108957821468, 0.44882526318981963, 0.45176330096316786, 0.4526219992142803, 0.4476472049389245, 0.4506799618028245, 0.4551968090939072, 0.4495929732637585, 0.4574901062362599, 0.4576860396367199, 0.4479088693294885, 0.4572912578312856, 0.4547538414316357, 0.4494408363441251, 0.45278751344051, 0.4560157499223385, 0.4481197606842473, 0.4623189371711803, 0.45755634386584443, 0.45777987871529924, 0.4444535610810766, 0.44987929092263274, 0.45909665834228947, 0.4598543098512686, 0.4457324282178339, 0.45107307524051304, 0.44342260259502336, 0.4582258980229216, 0.45444763381526154, 0.47323327188221914, 0.46229024821857234, 0.4564932719716486, 0.45046750779421824, 0.4507440311728783, 0.46292317475912703, 0.445831299390433, 0.45176873398276995, 0.4519341329358659, 0.4441927373409271, 0.4552982989347206]",0.4552982989347206
skipgram,hierarchical_softmax,100,128,100,0.01,1,865,6793,126.76922082901001,"[23.20974530114068, 13.331812505368832, 9.16961951609011, 6.93608335212425, 5.600320568791142, 4.980904459953308, 4.57069190343221, 4.292423689806903, 4.074321883696097, 3.934678139509978, 4.064972449232031, 3.831467780801985, 3.7073436931327537, 3.853000111050076, 3.93005907535553, 3.73803828380726, 3.6763874998799078, 3.68560889032152, 3.672180555484913, 3.742694929794029, 3.660938033351192, 3.6135604160803334, 3.735545352653221, 3.683666533894009, 3.6097412550890886, 3.609167840745714, 3.4564189513524375, 3.6588134368260703, 3.812463950227808, 3.5977238328368575, 3.6189296466332896, 3.736998602196022, 3.624199739208928, 3.6624450197926275, 3.531508613515783, 3.6621109909481473, 3.6299971562844737, 3.3590727602994, 3.4637183215883045, 3.5788050095240274, 3.4823239423610546, 3.4412071616561324, 3.510204063521491, 3.4873715506659613, 3.6192550879937633, 3.431001230522438, 3.5083246760898166, 3.592365035304317, 3.495833736878854, 3.585726684994168, 3.565973652733697, 3.535405918403908, 3.614835743550901, 3.535372734069824, 3.475024108533506, 3.6185553824460066, 3.534464028146532, 3.401741573104152, 3.330881396929423, 3.4555810160107083, 3.428719436680829, 3.5446357947808727, 3.491406546698676, 3.4953208102120294, 3.534126974918224, 3.469851436438384, 3.5331371316203364, 3.6901662702913636, 3.399206947397303, 3.3807398831402815, 3.5155323390607482, 3.490188068813748, 3.6025172957667597, 3.445433501844053, 3.3704083186608775, 3.538415409900524, 3.55535469673298, 3.5700865498295538, 3.380111893018087, 3.4675434518743447, 3.3728491995069714, 3.5051369225537337, 3.4523544046613903, 3.538958527423717, 3.4303471777174206, 3.6616039717638933, 3.435237495987504, 3.4462773579138295, 3.2676873339547052, 3.4866570278450295, 3.354312832708712, 3.3266634587888366, 3.624648270783601, 3.4638970074830233, 3.445654798437048, 3.4721311860614352, 3.450246082411872, 3.3758729254757918, 3.402395217506974, 3.4307359236258046]",3.4307359236258046
